,Dalc,Fedu,Fjob,G1,G2,G3,Medu,Mjob,Pstatus,Walc,absences,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,health,higher,internet,nursery,paid,reason,romantic,school,schoolsup,sex,studytime,traveltime
22,1,2,other,15,15,16,4,teacher,T,3,2,yes,U,16,0,4,LE3,no,5,1,mother,5,yes,yes,yes,no,course,no,GP,no,M,2,1
23,2,2,other,13,13,12,2,other,T,4,0,yes,U,16,0,5,LE3,yes,4,4,mother,5,yes,yes,yes,no,reputation,no,GP,no,M,2,2
24,1,4,health,10,9,8,2,services,T,1,2,yes,R,15,0,4,GT3,yes,3,2,mother,5,yes,yes,yes,yes,course,no,GP,yes,F,3,1
25,1,2,services,6,9,8,2,services,T,3,14,no,U,16,2,1,GT3,yes,2,2,mother,5,yes,yes,no,yes,home,no,GP,no,F,1,1
26,1,2,other,12,12,11,2,other,T,2,2,no,U,15,0,4,GT3,yes,2,2,mother,5,yes,yes,yes,yes,home,no,GP,no,M,1,1
27,2,2,services,15,16,15,4,health,T,4,4,no,U,15,0,2,GT3,no,2,4,mother,1,yes,yes,yes,yes,other,no,GP,no,M,1,1
28,1,4,other,11,11,11,3,services,A,1,4,yes,U,16,0,5,LE3,yes,3,3,mother,5,yes,yes,yes,no,home,no,GP,yes,M,2,1
29,5,4,teacher,10,12,11,4,teacher,T,5,16,yes,U,16,0,4,GT3,yes,4,5,mother,5,yes,yes,yes,yes,home,yes,GP,no,M,2,1
30,3,4,services,9,11,12,4,health,T,4,0,no,U,15,0,5,GT3,yes,4,2,mother,5,yes,yes,no,yes,home,no,GP,no,M,2,1
31,1,4,services,17,16,17,4,services,T,1,0,yes,U,15,0,4,GT3,yes,3,1,mother,5,yes,yes,yes,no,reputation,no,GP,no,M,2,2
32,1,3,at_home,17,16,16,4,teacher,T,1,0,yes,R,15,0,4,GT3,yes,5,2,mother,5,yes,yes,yes,no,course,yes,GP,no,M,2,1
33,1,3,other,8,10,12,3,other,T,1,0,yes,U,15,0,5,LE3,no,3,2,mother,2,yes,yes,no,no,course,no,GP,no,M,2,1
34,1,2,other,12,14,15,3,other,T,1,0,no,U,16,0,5,GT3,yes,4,3,mother,5,yes,yes,no,yes,home,no,GP,no,M,1,1
35,1,3,other,8,7,6,2,other,T,1,0,yes,U,15,0,3,GT3,yes,5,1,father,5,yes,no,yes,no,other,no,GP,no,F,1,2
36,1,3,services,15,16,18,4,teacher,T,1,2,yes,U,15,0,5,LE3,yes,4,3,mother,4,yes,yes,yes,no,home,no,GP,no,M,3,1
37,1,4,teacher,15,16,15,4,other,A,1,7,yes,R,16,0,2,GT3,yes,4,3,mother,5,yes,yes,yes,no,reputation,yes,GP,no,M,3,2
38,1,4,health,12,12,11,3,services,T,1,2,yes,R,15,0,4,GT3,yes,3,2,mother,5,yes,yes,yes,yes,course,no,GP,yes,F,3,1
39,1,2,other,14,13,13,2,at_home,T,1,8,yes,R,15,0,4,GT3,yes,3,1,mother,2,yes,no,yes,yes,reputation,no,GP,yes,F,1,1
40,1,2,other,7,10,11,2,other,T,2,25,yes,U,16,1,3,LE3,yes,3,3,mother,3,yes,yes,no,no,home,yes,GP,no,F,2,2
41,2,4,other,12,12,12,4,teacher,T,4,8,no,U,15,0,5,LE3,yes,4,3,other,5,yes,yes,no,no,home,yes,GP,no,M,1,1
42,1,4,teacher,19,18,18,4,services,T,1,2,yes,U,15,0,4,GT3,yes,3,3,father,5,yes,yes,yes,no,course,no,GP,no,M,2,1
43,1,2,services,8,8,11,2,services,T,1,0,no,U,15,0,5,GT3,yes,4,1,father,1,yes,yes,yes,no,course,no,GP,yes,M,1,1
44,2,2,at_home,10,10,9,2,other,T,2,14,yes,U,16,1,4,LE3,no,3,3,father,5,yes,yes,yes,no,course,no,GP,yes,F,2,2
45,1,3,other,8,8,6,4,other,A,1,8,yes,U,15,0,5,LE3,yes,2,2,mother,5,yes,yes,yes,yes,course,yes,GP,yes,F,2,1
46,1,3,services,11,12,11,3,other,A,4,12,no,U,16,0,2,LE3,yes,3,5,mother,3,yes,yes,yes,no,home,no,GP,no,F,2,1
47,1,3,services,19,19,20,4,health,T,1,4,yes,U,16,0,4,GT3,no,2,2,mother,2,yes,yes,yes,no,reputation,no,GP,no,M,4,1
48,2,2,other,15,15,14,4,teacher,T,2,2,no,U,15,0,4,GT3,yes,3,3,mother,5,yes,no,yes,yes,home,no,GP,no,M,2,1
49,1,4,teacher,7,7,7,4,services,T,1,2,yes,U,15,1,4,GT3,yes,4,4,father,3,yes,yes,no,no,other,no,GP,yes,F,2,1
50,2,2,services,12,13,13,2,services,T,3,2,no,U,16,0,4,LE3,yes,3,3,mother,4,yes,yes,yes,yes,course,no,GP,no,F,2,3
51,1,2,other,11,13,13,4,health,T,1,2,no,U,15,0,4,LE3,yes,3,3,mother,5,yes,yes,yes,yes,other,no,GP,no,F,2,1
52,3,2,health,11,11,10,4,health,A,4,6,no,U,15,1,5,LE3,no,5,5,father,5,yes,no,yes,no,other,no,GP,no,M,1,2
53,2,4,services,8,10,11,4,services,T,3,0,no,U,15,0,3,GT3,yes,3,4,mother,5,yes,yes,yes,yes,course,no,GP,yes,F,1,1
54,4,3,other,10,13,13,3,other,A,4,6,no,U,15,0,5,LE3,no,3,4,mother,1,yes,yes,yes,yes,other,no,GP,no,F,1,1
55,1,1,other,8,9,10,2,other,A,1,8,yes,U,16,0,5,GT3,no,3,4,mother,2,yes,yes,yes,yes,other,yes,GP,no,F,2,1
56,1,3,services,14,15,15,4,services,A,1,0,yes,U,15,0,4,GT3,yes,3,2,mother,1,yes,yes,yes,yes,reputation,no,GP,no,F,2,1
57,1,4,health,14,15,15,4,teacher,T,1,4,yes,U,15,0,3,GT3,yes,2,2,mother,5,yes,no,yes,no,reputation,no,GP,no,M,2,1
58,1,2,at_home,9,10,9,1,other,T,1,2,yes,U,15,0,4,LE3,yes,3,2,father,5,yes,yes,yes,no,home,no,GP,yes,M,2,1
59,1,2,other,15,16,16,4,services,T,1,2,no,U,16,0,4,GT3,yes,2,3,mother,5,yes,yes,yes,no,course,no,GP,no,F,2,1
60,2,4,teacher,10,11,11,4,health,T,3,6,yes,R,16,0,2,GT3,yes,4,4,mother,4,yes,no,yes,no,other,no,GP,no,F,2,1
61,5,1,services,10,8,11,1,services,T,5,6,yes,U,16,0,5,GT3,yes,5,5,father,5,yes,yes,no,no,course,yes,GP,yes,F,1,4
62,1,2,services,8,10,9,1,other,T,1,4,yes,U,16,0,4,LE3,no,4,3,father,1,yes,yes,yes,no,reputation,no,GP,yes,F,2,1
63,2,3,health,10,9,9,4,teacher,T,4,2,yes,U,16,0,3,GT3,yes,4,4,mother,4,yes,yes,yes,yes,home,no,GP,yes,F,3,1
64,2,3,services,10,10,10,4,services,T,4,0,yes,U,15,0,4,LE3,no,4,4,father,2,yes,yes,yes,no,reputation,yes,GP,yes,F,2,1
65,1,3,services,16,15,15,4,teacher,T,2,2,yes,U,16,0,5,LE3,yes,4,3,mother,1,yes,yes,yes,no,course,no,GP,no,F,2,3
66,5,4,services,13,13,12,4,other,A,5,4,yes,U,15,0,1,GT3,yes,3,3,mother,3,yes,yes,no,no,reputation,yes,GP,no,M,4,1
67,1,1,other,7,7,6,3,services,T,2,4,no,U,16,0,4,GT3,yes,3,3,mother,5,yes,yes,yes,yes,course,no,GP,yes,F,4,1
68,1,2,services,8,9,8,2,health,T,3,2,no,R,15,0,4,LE3,yes,1,3,mother,4,yes,yes,yes,yes,reputation,no,GP,yes,F,2,2
69,2,1,other,16,16,16,3,other,T,3,12,no,R,15,0,4,LE3,yes,4,2,father,3,yes,yes,no,no,reputation,no,GP,no,F,4,2
70,1,1,other,13,15,15,3,other,T,1,0,no,U,16,0,4,GT3,yes,3,2,father,5,yes,yes,yes,yes,reputation,no,GP,no,M,4,2
71,1,2,other,10,10,10,4,other,T,1,0,no,U,15,0,3,GT3,no,3,3,mother,3,yes,yes,yes,no,course,no,GP,no,M,4,1
72,2,1,other,8,6,5,1,other,T,4,2,no,R,15,2,3,GT3,yes,3,4,mother,5,yes,yes,no,no,reputation,yes,GP,yes,F,2,1
73,2,1,other,12,12,14,3,other,T,2,2,yes,U,16,0,5,GT3,no,3,2,mother,5,yes,no,yes,no,reputation,no,GP,no,M,1,1
74,2,3,services,11,12,11,3,other,T,4,54,yes,U,16,0,4,GT3,yes,3,3,mother,5,yes,yes,yes,yes,home,no,GP,yes,F,2,1
75,2,3,other,9,9,10,4,teacher,T,3,6,yes,U,15,0,4,GT3,yes,3,3,mother,5,yes,yes,yes,yes,home,no,GP,no,M,2,1
76,1,0,other,11,11,10,4,teacher,T,1,8,yes,U,15,0,3,GT3,no,4,3,mother,1,yes,yes,yes,no,course,no,GP,no,M,4,2
77,1,2,other,11,11,11,2,other,T,3,0,no,U,16,0,5,GT3,no,2,3,mother,3,yes,yes,yes,yes,reputation,yes,GP,no,F,4,1
78,1,1,other,8,8,10,2,other,T,1,2,yes,U,17,3,4,GT3,yes,5,1,mother,3,no,yes,yes,no,home,no,GP,yes,M,1,2
79,1,4,other,5,5,5,3,at_home,T,2,12,no,U,16,0,2,GT3,yes,4,3,mother,3,yes,yes,yes,no,course,no,GP,no,F,2,1
80,1,3,services,10,12,12,2,other,T,3,2,yes,U,15,0,3,GT3,yes,2,2,father,3,yes,yes,no,yes,course,yes,GP,yes,M,1,1
81,1,3,other,11,10,11,2,other,T,2,4,no,U,15,0,5,GT3,no,3,2,mother,5,yes,yes,no,yes,home,no,GP,yes,M,3,1
82,1,2,other,7,6,6,3,services,T,1,10,no,U,15,0,4,LE3,yes,4,4,mother,5,yes,yes,yes,yes,reputation,no,GP,no,F,2,1
83,1,2,services,15,15,15,2,services,T,3,4,yes,U,15,0,5,LE3,no,3,3,mother,4,yes,yes,yes,yes,home,no,GP,no,M,2,2
84,2,1,other,9,10,10,1,other,T,3,2,yes,U,15,0,4,GT3,yes,3,2,father,4,yes,yes,no,no,home,no,GP,no,F,2,1
85,2,4,services,7,9,8,4,services,T,3,6,no,U,15,2,4,GT3,no,4,4,father,5,yes,yes,yes,yes,reputation,yes,GP,no,F,2,2
86,1,2,other,8,7,6,2,at_home,T,2,4,no,U,16,0,4,LE3,yes,3,4,mother,2,yes,no,yes,no,course,no,GP,no,F,2,1
87,1,2,other,13,14,14,4,other,T,3,4,yes,U,15,0,5,GT3,yes,3,3,mother,1,yes,yes,yes,no,reputation,no,GP,no,F,3,1
88,1,2,other,11,10,10,2,services,T,1,12,yes,U,16,1,4,GT3,no,4,2,father,3,yes,yes,no,yes,reputation,no,GP,no,M,2,2
89,3,4,health,8,6,7,4,teacher,A,5,18,no,U,16,0,4,LE3,yes,1,3,mother,5,yes,no,yes,no,reputation,no,GP,no,M,2,1
90,1,3,other,7,7,8,3,other,T,3,0,no,U,16,0,4,GT3,yes,3,3,mother,4,yes,yes,yes,yes,home,yes,GP,no,F,3,1
91,1,3,other,16,17,18,4,services,T,3,4,yes,U,15,0,4,GT3,no,5,5,mother,1,yes,yes,yes,yes,reputation,no,GP,no,F,1,1
92,2,1,other,7,6,6,3,other,T,3,4,no,U,16,0,3,LE3,yes,3,3,father,2,yes,no,yes,no,home,no,GP,yes,F,2,1
93,1,2,services,11,10,10,4,teacher,T,1,0,yes,U,16,0,5,GT3,yes,3,3,mother,1,yes,yes,yes,yes,home,no,GP,no,F,2,2
94,1,2,health,11,13,14,2,services,T,1,6,yes,U,15,0,4,LE3,yes,3,4,mother,4,yes,yes,yes,no,reputation,no,GP,no,M,4,1
95,1,1,other,7,10,10,1,at_home,T,1,2,yes,R,15,1,3,GT3,yes,1,2,mother,1,yes,yes,yes,yes,home,no,GP,yes,F,4,2
96,1,3,other,11,15,15,4,services,T,1,2,yes,R,16,0,3,GT3,yes,3,3,mother,4,yes,yes,no,no,reputation,no,GP,yes,M,1,2
97,1,1,other,8,9,10,2,other,T,1,2,no,U,16,0,4,GT3,yes,3,5,mother,5,yes,no,yes,yes,course,yes,GP,no,F,2,1
98,1,4,other,11,14,14,4,other,T,2,6,yes,U,16,0,5,GT3,no,3,4,mother,1,yes,yes,no,no,reputation,no,GP,no,F,1,1
99,1,3,at_home,7,9,8,4,other,T,1,0,no,U,16,0,5,GT3,yes,3,5,mother,3,yes,yes,yes,yes,course,no,GP,yes,F,3,1
100,5,4,services,7,7,5,4,services,T,5,14,yes,U,16,0,4,GT3,yes,5,5,mother,4,yes,yes,yes,yes,other,no,GP,yes,M,1,1
101,1,4,teacher,16,17,17,4,services,T,1,0,yes,U,16,0,4,GT3,yes,4,3,father,4,yes,yes,yes,no,other,yes,GP,no,M,3,1
102,1,4,other,10,13,14,4,services,T,1,4,yes,U,15,0,5,GT3,yes,3,3,mother,5,yes,yes,no,no,course,no,GP,no,M,1,1
103,1,2,other,7,6,6,3,services,T,1,26,no,U,15,0,4,GT3,yes,3,5,mother,2,yes,yes,yes,yes,home,no,GP,yes,F,2,2
104,1,4,other,16,18,18,3,services,A,1,0,yes,U,15,0,5,GT3,yes,4,4,mother,1,yes,yes,yes,yes,course,no,GP,no,M,2,1
105,1,3,health,10,11,11,3,other,A,1,10,no,U,15,0,4,GT3,no,3,3,father,4,yes,no,yes,no,reputation,no,GP,yes,F,4,1
106,1,2,other,7,8,8,2,other,T,1,8,no,U,15,0,5,GT3,yes,1,2,mother,3,yes,yes,yes,yes,course,no,GP,yes,F,4,1
107,1,3,other,16,18,18,3,services,T,1,2,yes,U,16,0,5,GT3,yes,3,3,father,5,yes,yes,yes,no,home,no,GP,no,M,3,1
108,3,4,other,10,13,13,4,other,T,5,6,yes,R,15,0,1,GT3,yes,3,5,father,1,yes,yes,yes,yes,home,yes,GP,no,M,4,4
109,1,4,health,14,15,16,4,health,T,1,4,yes,U,16,0,5,LE3,yes,4,5,mother,4,yes,yes,yes,yes,other,yes,GP,no,F,3,1
110,1,4,teacher,18,19,19,4,teacher,A,1,6,yes,U,15,0,5,LE3,no,5,3,mother,4,yes,yes,yes,no,course,no,GP,no,M,1,1
111,1,3,other,7,10,10,3,services,T,1,0,yes,R,16,1,4,GT3,yes,1,2,father,2,yes,yes,yes,no,reputation,no,GP,yes,F,3,1
112,1,2,other,10,13,13,2,at_home,T,1,6,yes,U,16,1,3,GT3,no,1,2,mother,5,yes,yes,yes,no,home,no,GP,yes,F,2,1
113,1,2,other,18,19,19,4,teacher,T,1,10,no,U,15,0,3,LE3,no,5,2,mother,3,yes,yes,yes,no,course,no,GP,no,M,1,1
114,1,1,services,9,9,9,2,health,T,1,8,yes,R,15,0,5,GT3,no,4,2,mother,5,yes,yes,yes,no,reputation,yes,GP,no,M,2,1
115,1,4,teacher,15,15,16,4,teacher,T,2,2,yes,U,16,0,5,GT3,yes,4,4,father,5,yes,yes,yes,no,course,no,GP,no,M,2,1
116,1,4,teacher,11,13,14,4,other,T,1,2,yes,U,15,0,4,GT3,yes,4,3,father,2,yes,no,yes,no,reputation,no,GP,no,M,2,2
117,1,3,services,13,14,13,3,other,T,1,0,yes,U,16,0,5,GT3,no,4,2,father,5,yes,yes,yes,no,home,no,GP,no,M,1,2
118,1,3,other,9,7,8,1,other,T,4,20,yes,R,17,1,5,GT3,yes,2,4,father,5,yes,yes,yes,no,course,no,GP,no,M,2,3
119,1,4,other,14,13,13,3,other,T,2,6,no,U,15,0,3,GT3,no,4,3,father,4,yes,yes,yes,no,reputation,no,GP,no,M,1,1
120,1,2,services,16,15,15,1,at_home,T,2,2,no,U,15,0,3,GT3,no,2,3,mother,1,yes,yes,no,no,course,no,GP,no,F,2,1
121,1,2,services,16,14,15,2,services,T,2,6,yes,U,15,0,5,GT3,yes,5,4,father,5,yes,yes,yes,yes,home,no,GP,no,M,4,1
122,1,4,health,13,13,13,2,other,T,2,2,yes,U,16,0,4,LE3,yes,2,2,father,5,yes,yes,yes,yes,course,yes,GP,no,F,2,2
123,1,4,other,14,11,13,4,health,T,4,18,yes,U,16,0,3,GT3,yes,4,4,mother,5,yes,yes,yes,no,course,no,GP,no,M,1,1
124,1,2,other,8,7,8,2,other,T,1,0,no,U,16,0,5,GT3,no,4,4,mother,5,yes,yes,yes,yes,home,yes,GP,no,F,2,1
125,3,4,services,13,13,12,3,services,T,2,0,no,U,15,0,5,GT3,no,5,5,father,5,yes,yes,yes,no,home,no,GP,yes,M,1,1
126,1,4,other,7,10,11,3,other,A,1,0,yes,U,15,0,5,LE3,no,3,2,mother,1,yes,yes,yes,no,home,yes,GP,yes,F,2,1
127,1,1,other,7,8,9,0,at_home,T,1,2,no,U,19,3,3,GT3,yes,4,2,other,5,no,no,no,no,course,no,GP,no,F,2,1
128,1,2,other,7,4,0,2,services,T,2,0,yes,R,18,2,3,GT3,yes,3,3,mother,4,yes,yes,yes,no,reputation,no,GP,no,M,1,1
129,2,4,teacher,18,18,18,4,teacher,T,5,8,yes,R,16,0,3,GT3,no,5,5,mother,4,yes,yes,yes,yes,course,no,GP,no,M,1,1
130,2,4,teacher,12,0,0,3,services,T,2,0,no,R,15,2,4,GT3,yes,2,2,father,5,yes,yes,yes,no,course,yes,GP,no,F,3,2
131,1,1,other,8,0,0,1,at_home,T,2,0,yes,U,15,0,4,GT3,yes,3,3,mother,4,yes,yes,no,no,course,yes,GP,no,F,1,3
132,1,2,other,10,13,12,2,other,T,3,12,no,U,17,0,3,LE3,yes,4,4,father,5,yes,yes,yes,no,course,yes,GP,no,F,1,1
133,1,4,other,12,11,11,3,services,A,4,16,no,U,16,0,3,GT3,no,2,1,father,5,yes,yes,yes,no,course,no,GP,no,F,1,1
134,1,4,teacher,9,0,0,3,at_home,T,1,0,no,R,15,0,5,GT3,yes,3,3,mother,5,yes,no,yes,no,course,yes,GP,no,M,2,4
135,1,4,at_home,11,0,0,4,services,T,1,0,yes,U,15,0,4,GT3,yes,3,3,mother,5,yes,yes,yes,no,course,yes,GP,no,F,3,1
136,2,4,other,10,0,0,3,at_home,T,4,0,no,R,17,0,5,GT3,no,4,5,mother,5,yes,no,yes,no,course,no,GP,no,M,2,3
137,1,3,other,4,0,0,3,other,A,1,0,yes,U,16,2,4,GT3,yes,3,2,other,5,yes,yes,no,no,course,yes,GP,no,F,1,2
138,1,1,other,14,12,12,1,services,T,3,0,no,U,16,1,4,LE3,no,4,4,mother,5,yes,no,yes,no,course,yes,GP,no,M,2,1
139,1,4,teacher,16,16,15,4,teacher,T,1,0,yes,U,15,0,4,GT3,no,3,2,mother,5,yes,yes,yes,no,course,no,GP,no,F,1,2
140,1,3,services,7,9,0,4,teacher,T,1,0,no,U,15,0,2,GT3,yes,2,2,father,3,yes,yes,yes,no,course,no,GP,yes,M,4,2
141,2,2,services,9,9,9,2,services,T,2,8,yes,U,16,2,2,LE3,yes,3,3,father,2,yes,yes,yes,no,reputation,no,GP,no,M,1,2
142,1,4,services,9,11,11,4,teacher,T,1,2,yes,U,15,0,4,GT3,yes,2,2,mother,5,yes,yes,yes,yes,course,no,GP,no,F,3,1
143,3,1,at_home,14,14,13,1,at_home,T,3,2,no,U,16,0,3,LE3,no,4,4,mother,1,yes,yes,yes,no,course,no,GP,no,F,1,1
144,1,1,other,5,0,0,2,other,T,2,0,no,U,17,3,5,GT3,yes,4,5,mother,5,yes,yes,yes,no,home,no,GP,no,M,1,1
145,1,1,services,8,11,11,1,other,T,2,0,no,U,15,0,4,GT3,yes,4,2,father,5,yes,yes,yes,yes,course,no,GP,no,F,2,1
146,1,2,services,6,7,0,3,health,T,1,0,no,U,15,3,3,GT3,yes,3,2,father,3,yes,yes,yes,no,home,no,GP,no,F,2,1
147,1,2,other,10,11,11,1,at_home,T,1,2,no,U,15,0,4,GT3,yes,3,2,mother,5,yes,yes,no,yes,course,no,GP,no,F,2,1
148,2,4,teacher,7,6,0,4,teacher,T,1,0,no,U,16,0,3,GT3,yes,3,2,mother,5,no,yes,yes,no,course,yes,GP,no,M,1,1
149,2,1,other,8,9,10,2,services,A,5,0,no,U,15,3,4,LE3,no,5,5,mother,5,yes,yes,yes,no,course,no,GP,no,M,1,4
150,2,1,other,6,5,0,1,other,T,5,0,no,U,18,3,2,LE3,no,3,5,mother,4,no,yes,yes,no,course,yes,GP,no,M,1,1
151,3,1,other,12,13,14,2,at_home,T,5,6,yes,U,16,1,4,LE3,no,4,4,mother,5,yes,no,yes,no,course,yes,GP,no,M,1,1
152,2,3,services,10,10,10,3,services,T,3,8,yes,R,15,2,4,GT3,yes,2,1,other,3,yes,yes,yes,yes,reputation,yes,GP,no,F,3,2
153,1,2,at_home,5,0,0,3,services,T,1,0,no,U,19,3,4,GT3,yes,5,4,mother,4,no,yes,yes,no,home,yes,GP,no,M,1,1
154,1,4,teacher,11,11,12,4,other,T,1,0,no,U,17,0,4,GT3,yes,2,1,mother,4,yes,no,yes,no,course,yes,GP,yes,F,1,1
155,1,3,services,11,8,8,2,at_home,T,1,2,yes,R,15,0,4,GT3,no,4,4,mother,1,yes,no,yes,yes,course,no,GP,yes,M,2,1
156,3,2,other,16,12,13,1,other,T,3,8,no,R,17,0,2,LE3,no,2,2,mother,5,yes,no,yes,no,reputation,no,GP,no,M,1,1
157,1,1,other,9,8,10,1,at_home,T,5,6,yes,R,18,3,5,GT3,yes,2,5,mother,4,yes,no,no,no,course,no,GP,no,F,1,3
158,1,2,other,17,15,15,2,at_home,T,2,2,no,R,16,0,4,GT3,no,2,2,mother,3,yes,no,no,no,course,no,GP,no,M,1,3
159,4,3,services,10,12,12,3,other,T,4,4,no,U,16,1,4,GT3,yes,5,5,father,5,yes,yes,yes,yes,course,yes,GP,no,M,2,1
160,2,1,other,7,6,0,2,at_home,T,2,0,yes,R,17,2,3,LE3,no,3,2,mother,5,no,yes,yes,no,course,yes,GP,no,M,1,2
161,1,2,other,5,9,7,3,other,T,4,6,no,R,15,2,4,GT3,yes,4,4,mother,3,yes,yes,yes,no,course,yes,GP,yes,M,2,2
162,2,2,other,7,0,0,1,other,T,4,0,yes,U,16,1,4,LE3,no,4,4,mother,5,yes,no,yes,no,course,no,GP,no,M,1,2
163,1,3,services,10,10,10,1,at_home,T,4,2,no,U,17,0,5,GT3,no,3,3,father,2,no,yes,yes,no,course,no,GP,no,M,1,1
164,1,1,services,5,8,7,1,other,T,5,0,yes,R,17,3,5,LE3,no,3,5,mother,5,no,no,yes,no,course,yes,GP,no,M,2,4
165,1,2,services,12,11,12,3,services,T,1,16,yes,U,16,1,4,GT3,yes,5,2,mother,2,no,no,no,no,course,no,GP,no,M,1,2
166,2,2,other,10,10,10,2,other,T,4,4,no,U,16,0,4,GT3,no,3,5,father,4,no,yes,yes,no,course,no,GP,no,M,2,1
167,1,2,services,14,15,16,4,health,T,1,0,no,U,16,0,4,GT3,no,2,3,father,3,yes,yes,yes,yes,home,yes,GP,no,F,2,1
168,1,2,other,6,7,0,2,other,T,1,0,no,U,16,0,5,GT3,yes,1,5,mother,4,yes,yes,no,yes,home,no,GP,no,F,2,1
169,1,4,health,14,14,14,4,health,T,1,0,no,U,16,0,4,GT3,yes,4,2,mother,3,yes,yes,yes,yes,reputation,yes,GP,no,F,2,1
170,2,4,other,6,5,0,3,other,T,4,0,yes,U,16,2,3,GT3,yes,4,5,father,2,yes,yes,no,no,course,no,GP,no,M,1,3
171,1,0,other,13,15,16,1,other,T,1,2,yes,U,16,0,4,GT3,yes,3,2,mother,3,yes,yes,yes,yes,reputation,yes,GP,no,M,2,2
172,1,4,other,13,11,10,4,teacher,T,3,0,yes,U,17,0,4,LE3,yes,4,4,mother,5,yes,yes,yes,yes,reputation,no,GP,no,M,2,1
173,1,3,services,8,7,0,1,at_home,T,1,0,yes,U,16,3,4,GT3,no,3,5,mother,3,yes,yes,no,no,home,yes,GP,no,F,2,1
174,1,3,other,10,11,9,3,other,T,1,4,yes,U,16,0,4,LE3,yes,4,5,mother,4,yes,yes,yes,yes,reputation,no,GP,no,F,2,2
175,4,3,other,10,9,9,4,teacher,T,4,4,yes,U,17,0,4,LE3,no,4,4,mother,4,yes,yes,yes,yes,course,no,GP,no,M,2,2
